date,inIcuCumulative,inIcuCurrently,hospitalizedIncrease,hospitalizedCurrently,hospitalizedCumulative,negative,negativeIncrease,onVentilatorCumulative,onVentilatorCurrently,positive,positiveIncrease,states,totalTestResults,totalTestResultsIncrease,death
2020-01-13,,,0,,,,0,,,,0,1,0,0,0
2020-01-14,,,0,,,,0,,,0,0,1,0,0,0
2020-01-15,,,0,,,,0,,,0,0,1,0,0,0
2020-01-16,,,0,,,,0,,,0,0,1,0,0,0
2020-01-17,,,0,,,,0,,,0,0,1,0,0,0
2020-01-18,,,0,,,,0,,,0,0,1,0,0,0
2020-01-19,,,0,,,,0,,,1,1,1,0,0,0
2020-01-20,,,0,,,,0,,,1,0,1,0,0,0
2020-01-21,,,0,,,,0,,,2,1,1,0,0,0
2020-01-22,,,0,,,,0,,,2,0,2,1,1,0
2020-01-23,,,0,,,,0,,,2,0,2,2,1,0
2020-01-24,,,0,,,,0,,,2,0,2,2,0,0
2020-01-25,,,0,,,,0,,,2,0,2,2,0,0
2020-01-26,,,0,,,,0,,,2,0,2,2,0,0
2020-01-27,,,0,,,,0,,,2,0,3,3,1,0
2020-01-28,,,0,,,,0,,,2,0,3,3,0,0
2020-01-29,,,0,,,,0,,,2,0,4,5,2,0
2020-01-30,,,0,,,,0,,,2,0,4,5,0,0
2020-01-31,,,0,,,,0,,,2,0,4,8,3,0
2020-02-01,,,0,,,,0,,,2,0,4,8,0,0
2020-02-02,,,0,,,,0,,,2,0,4,8,0,0
2020-02-03,,,0,,,,0,,,3,1,4,11,3,0
2020-02-04,,,0,,,,0,,,3,0,4,15,4,0
2020-02-05,,,0,,,,0,,,3,0,4,15,0,0
2020-02-06,,,0,,,,0,,,5,2,4,16,1,0
2020-02-07,,,0,,,,0,,,5,0,4,16,0,0
2020-02-08,,,0,,,,0,,,5,0,4,18,2,0
2020-02-09,,,0,,,,0,,,5,0,4,18,0,0
2020-02-10,,,0,,,,0,,,5,0,5,19,1,0
2020-02-11,,,0,,,,0,,,5,0,5,20,1,0
2020-02-12,,,0,,,,0,,,5,0,5,21,1,0
2020-02-13,,,0,,,,0,,,6,1,5,22,1,0
2020-02-14,,,0,,,,0,,,7,1,5,22,0,0
2020-02-15,,,0,,,,0,,,7,0,6,26,4,0
2020-02-16,,,0,,,,0,,,7,0,6,28,2,0
2020-02-17,,,0,,,,0,,,7,0,6,29,1,0
2020-02-18,,,0,,,,0,,,7,0,6,29,0,0
2020-02-19,,,0,,,,0,,,7,0,6,35,6,0
2020-02-20,,,0,,,,0,,,7,0,6,36,1,0
2020-02-21,,,0,,,,0,,,7,0,6,37,1,0
2020-02-22,,,0,,,,0,,,7,0,6,38,1,0
2020-02-23,,,0,,,,0,,,8,1,6,38,0,0
2020-02-24,,,0,,,,0,,,9,1,6,40,2,0
2020-02-25,,,0,,,,0,,,10,1,6,41,1,0
2020-02-26,,,0,,,,0,,,12,2,6,41,0,2
2020-02-27,,,0,,,,0,,,13,1,7,6487,6446,0
2020-02-28,,,0,,,,0,,,15,2,7,6490,3,2
2020-02-29,,,0,,,,0,,,18,3,8,6555,65,1
2020-03-01,,,0,,,2,2,,,42,24,11,6651,96,3
2020-03-02,,,0,,,3,1,,,72,30,12,6854,203,3
2020-03-03,,,0,,,5,2,,,114,42,16,7133,279,3
2020-03-04,,,4,,4,581,576,,,242,128,26,8023,890,2
2020-03-05,,,1,,5,713,132,,,307,65,32,9538,1515,4
2020-03-06,,,1,,6,874,161,,,445,138,40,11715,2177,6
2020-03-07,,,0,,6,1148,274,,,587,142,51,12646,931,1
2020-03-08,,,0,,6,1344,196,,,757,170,51,13776,1130,4
2020-03-09,,,3,,9,1786,442,,,1061,304,51,15831,2055,4
2020-03-10,,,0,,9,2280,494,,,1497,436,51,19153,3322,2
2020-03-11,,,3,,12,3301,1021,,,1915,418,51,23600,4447,6
2020-03-12,,,5,,17,4292,991,,,2592,677,51,30283,6683,9
2020-03-13,,,6,,23,5533,1241,,,3450,858,51,40016,9733,5
2020-03-14,,,4,,27,7409,1876,,,4476,1026,51,49832,9816,8
2020-03-15,,,10,,37,9396,1987,,,5738,1262,51,60034,10202,15
2020-03-16,,,6,,43,20327,10931,,,7449,1711,56,83148,23114,22
2020-03-17,,,33,325,76,26183,5856,,,9577,2128,56,109903,26755,24
2020-03-18,,,18,416,94,31577,5394,,,12934,3357,56,142099,32196,26
2020-03-19,,,34,617,128,39938,8361,,,17540,4606,56,181357,39258,51
2020-03-20,,,44,1042,172,51743,11805,,,23640,6100,56,230912,49555,70
2020-03-21,,,316,1492,488,67803,16060,,,30580,6940,56,283160,52248,62
2020-03-22,,,139,2173,627,80231,12428,,,39808,9228,56,335483,52323,145
2020-03-23,,,190,2812,817,101340,21109,,,50998,11190,56,392506,57023,102
2020-03-24,,,261,3938,1078,135287,33947,,,61894,10896,56,479351,86845,235
2020-03-25,74,,873,5140,1951,168293,33006,,167,74551,12657,56,561780,82429,241
2020-03-26,91,1299,655,7805,2606,210652,42359,,258,92143,17592,56,668725,106945,313
2020-03-27,124,1792,777,10887,3383,255808,45156,,293,111358,19215,56,769985,101260,411
2020-03-28,140,2174,682,12393,4065,324271,68463,,390,131143,19785,56,881415,111430,550
2020-03-29,156,2456,559,14055,4624,366103,41832,,433,150826,19683,56,968389,86974,506
2020-03-30,187,3087,584,15892,5208,416268,50165,,449,171965,21139,56,1068981,100592,584
2020-03-31,230,3487,1492,18155,6700,460602,44334,,506,196965,25000,56,1183548,114567,909
2020-04-01,256,3937,1302,20906,8002,505283,44681,32,561,223169,26204,56,1306569,123021,1006
2020-04-02,305,4513,1320,22995,9322,556688,51405,32,576,251304,28135,56,1437715,131146,1175
2020-04-03,335,4928,1189,25723,10511,611448,54760,39,623,283139,31835,56,1580122,142407,1288
2020-04-04,403,5500,1732,30456,12243,754973,143525,39,656,316261,33122,56,1811237,231115,1478
2020-04-05,609,5811,1131,32180,13374,788594,33621,39,650,342104,25843,56,1940649,129412,1340
2020-04-06,663,7079,883,36159,14257,858440,69846,39,2961,370364,28260,56,2078383,137734,1314
2020-04-07,738,9978,370,43849,14627,937451,79011,43,4047,400780,30416,56,2248139,169756,2042
2020-04-08,862,10276,1332,45359,15959,1005485,68034,39,4142,431744,30964,56,2413733,165594,1999
2020-04-09,918,12445,965,51323,16924,1088216,82731,39,5798,466736,34992,56,2584745,171012,2054
2020-04-10,1179,12693,1999,53167,18923,1144432,56216,39,5937,500514,33778,56,2740516,155771,2081
2020-04-11,1399,13856,1208,55563,20131,1208805,64373,152,5986,531837,31323,56,2899065,158549,2079
2020-04-12,1449,14188,694,55294,20825,1276163,67358,158,5962,560005,28168,56,3039684,140619,1698
2020-04-13,1549,14199,2304,56283,23129,1333459,57296,158,6170,584141,24136,56,3165148,125464,1630
2020-04-14,1642,14735,1466,59601,24595,1406727,73268,171,5981,610084,25943,56,3325178,160030,2356
2020-04-15,1710,15302,1176,59930,25771,1464212,57485,173,6033,639918,29834,56,3474456,149278,2541
2020-04-16,1834,15830,1261,59500,27032,1543524,79312,176,5940,671184,31266,56,3657502,183046,2196
2020-04-17,2052,15493,1289,58904,28321,1611126,67602,187,6098,702684,31500,56,3829651,172149,2116
2020-04-18,2096,15388,1459,57798,29780,1680587,69461,205,5733,730257,27573,56,4002132,172481,1896
2020-04-19,2145,15005,734,56491,30514,1748803,68216,214,5603,757187,26930,56,4151110,148978,1765
2020-04-20,2193,15099,887,56720,31401,1812381,63578,214,5569,781563,24376,56,4295090,143980,1814
2020-04-21,2315,15636,1431,59795,32832,1881486,69105,214,5514,808917,27354,56,4462056,166966,2478
2020-04-22,2370,15705,1591,59204,34423,1667505,-213981,227,5474,838190,29273,56,4797247,335191,2150
2020-04-23,2428,15407,1409,59215,35832,1732188,64683,227,5463,870128,31938,56,5015167,217920,1806
2020-04-24,2468,15274,1198,57367,37030,1807700,75512,227,5194,901345,31217,56,5261263,246096,1973
2020-04-25,2516,15056,1234,57346,38264,1927783,120083,227,5266,942042,40697,56,5537087,275824,1634
2020-04-26,2571,14753,1109,56167,39373,2003045,75262,227,5119,969366,27324,56,5742682,205595,1212
2020-04-27,3720,14496,1183,56181,40556,2065461,62416,252,4867,991770,22404,56,5937237,194555,1274
2020-04-28,3798,14280,1253,56041,41809,2134963,69502,252,4760,1017002,25232,56,6153837,216600,2078
2020-04-29,4093,14254,1865,56010,43674,2224039,89076,365,4803,1043181,26179,56,6410979,257142,2689
2020-04-30,4192,13982,1425,54910,45099,2303609,79570,373,4708,1073244,30063,56,6686214,275235,2153
2020-05-01,4300,13572,9055,54888,54154,2410267,106658,376,4712,1106124,32880,56,6971878,285664,1812
2020-05-02,4386,13528,1276,54008,55430,2491161,80894,375,4846,1135275,29151,56,7244219,272341,1521
2020-05-03,4502,13343,1027,52623,56457,2585233,94072,425,4762,1161034,25759,56,7483965,239746,1247
2020-05-04,4579,13390,1152,52375,57609,2672124,86891,430,4852,1183140,22106,56,7720150,236185,983
2020-05-05,4794,13346,1399,53168,59008,2777818,105694,439,4810,1205532,22392,56,7999931,279781,2496
2020-05-06,4911,13196,1505,52607,60513,2876361,98543,449,4758,1230844,25312,56,8293548,293617,1931
2020-05-07,5189,12832,3553,51445,64066,2971098,94737,529,7067,1258072,27228,56,8623256,329708,2732
2020-05-08,6294,12460,5697,49769,69763,3075820,104722,531,6793,1285270,27198,56,8936236,312980,1788
2020-05-09,6367,12165,1128,48576,70891,3186631,110811,543,6550,1310550,25280,56,9260131,323895,1459
2020-05-10,6445,11992,565,46741,71456,3278160,91529,547,6392,1331662,21112,56,9534395,274264,1027
2020-05-11,6488,11852,939,46554,72395,3487325,209165,551,6349,1349742,18080,56,9908609,374214,889
2020-05-12,6585,11915,1192,47347,73587,3597496,110171,559,6350,1372263,22521,56,10249433,340824,1518
2020-05-13,6713,11664,1273,46926,74860,3714514,117018,572,6164,1393744,21481,56,10595648,346215,1729
2020-05-14,6795,11338,2711,45912,77571,3853158,138644,582,5940,1420540,26796,56,10984434,388786,1846
2020-05-15,6890,11163,982,44553,78553,3973416,120258,589,5744,1445947,25407,56,11390849,406415,1537
2020-05-16,6945,10880,1383,43520,79936,4105783,132367,592,5532,1469782,23835,56,11785273,394424,1249
2020-05-17,7003,10563,766,42018,80702,4243900,138117,593,5467,1490166,20384,56,12137194,351921,862
2020-05-18,7064,10423,803,41935,81505,4375664,131764,602,5260,1510779,20613,56,12485861,348667,853
2020-05-19,7217,10292,1286,42019,82791,4538444,162780,606,5032,1531479,20700,56,12908521,422660,1327
2020-05-20,7319,10212,1453,41854,84244,4706173,167729,613,4907,1552850,21371,56,13357917,449396,1395
2020-05-21,7423,9757,4374,41353,88618,4925365,219192,616,4871,1579601,26751,56,13857260,499343,1381
2020-05-22,7689,9708,3751,39999,92369,5098634,173269,633,4714,1603728,24127,56,14308688,451428,1286
2020-05-23,7770,9382,1130,38625,93499,5214235,115601,638,4621,1626210,22482,56,14753262,444574,1035
2020-05-24,7801,9148,787,37741,94286,5344083,129848,639,4380,1645332,19122,56,15143981,390719,689
2020-05-25,7847,9114,669,37702,94955,5511820,167737,642,4232,1663875,18543,56,15552732,408751,556
2020-05-26,7899,9251,17155,37751,112110,5623724,111904,650,4221,1680551,16676,56,15868391,315659,668
2020-05-27,8015,9246,1385,38314,113495,5774936,151212,666,4223,1699744,19193,56,16284314,415923,1340
2020-05-28,8109,9139,1425,38005,114920,5963050,188114,676,4079,1722588,22844,56,16779172,494858,1235
2020-05-29,8235,8923,1409,36937,116329,6152833,189783,689,4028,1746212,23624,56,17286436,507264,1171
2020-05-30,8325,8691,1222,35761,117551,6327092,174259,698,4008,1769755,23543,56,17770642,484206,921
2020-05-31,8446,8373,698,34914,118249,6475080,147988,704,3669,1791449,21694,56,18199782,429140,654
2020-06-01,8486,8354,2752,34327,121001,6632978,157898,704,3950,1811478,20029,56,18619336,419554,676
2020-06-02,8566,8158,1578,33955,122579,6794045,161067,710,3854,1831387,19909,56,19069648,450312,982
2020-06-03,8690,7959,2011,33218,124590,6978667,184622,717,3754,1851551,20164,56,19575261,505613,973
2020-06-04,8788,7786,-2858,32800,121732,7162636,183969,723,3662,1872063,20512,56,20073056,497795,882
2020-06-05,8863,7658,1518,32505,123250,7394838,232202,740,3520,1895109,23046,56,20694440,621384,832
2020-06-06,8920,7525,985,31994,124235,7616701,221863,750,3476,1917778,22669,56,21252397,557957,709
2020-06-07,8957,7244,657,31492,124892,7806568,189867,753,3298,1936858,19080,56,21689602,437205,450
2020-06-08,9013,7182,1072,31097,125964,7938882,132314,762,3238,1953793,16935,56,22095000,405398,672
2020-06-09,9142,7310,1280,31181,127244,8094168,155286,771,3088,1970726,16933,56,22549671,454671,894
2020-06-10,9226,7065,1239,30962,128483,8262747,168579,780,3022,1991599,20873,56,23033757,484086,892
2020-06-11,9297,6885,1526,29842,130009,8413141,150394,792,2885,2013575,21976,56,23518533,484776,896
2020-06-12,9373,6837,1371,29309,131380,8641463,228322,814,2738,2036727,23152,56,24141524,622991,766
2020-06-13,9433,6700,965,28572,132345,8840278,198815,830,2726,2062186,25459,56,24686939,545415,690
2020-06-14,9466,6610,600,28012,132945,9008042,167764,834,2716,2083815,21629,56,25161891,474952,354
2020-06-15,9516,6595,664,28034,133609,9173553,165511,835,2636,2102051,18236,56,25609037,447146,383
2020-06-16,9591,6534,1186,28363,134795,9348637,175084,845,2591,2124908,22857,56,26109065,500028,726
2020-06-17,9666,6618,1085,28641,135880,9543899,195262,857,2584,2149114,24206,56,26672171,563106,778
2020-06-18,9738,6560,1100,28538,136980,9735467,191568,869,2518,2176098,26984,56,27234446,562275,679
2020-06-19,9877,6450,1592,28698,138572,9970283,234816,884,2433,2206985,30887,56,27898483,664037,657
2020-06-20,9908,6372,685,28078,139257,10167508,197225,888,2380,2239217,32232,56,28509152,610669,611
2020-06-21,9944,6415,519,28325,139776,10343038,175530,904,2321,2268399,29182,56,29013836,504684,291
2020-06-22,10003,6650,827,28962,140603,10506682,163644,909,2301,2295216,26817,56,29513091,499255,288
2020-06-23,10077,6791,1266,30352,141869,10679273,172591,918,2292,2328662,33446,56,30184889,671798,728
2020-06-24,10173,6752,1246,31268,143115,10864232,184959,934,2247,2367793,39131,56,30803050,618161,704
2020-06-25,10258,6905,1298,31920,144413,11112300,248068,951,2214,2407513,39720,56,31515845,712795,654
2020-06-26,10334,7017,1540,31850,145953,11330989,218689,966,2069,2451813,44300,56,32253713,737868,608
2020-06-27,10416,6998,1059,32569,147012,11548205,217216,977,2159,2494917,43104,56,32977206,723493,510
2020-06-28,10473,7080,549,32577,147561,11776058,227853,983,2077,2536646,41729,56,33588826,611620,271
2020-06-29,10542,7283,728,33742,148289,12021777,245719,990,2021,2576014,39368,56,34250200,661374,336
2020-06-30,10669,7419,1473,35340,149762,12247882,226105,1008,2044,2623046,47032,56,34962460,712260,583
2020-07-01,10752,7647,1429,36521,151191,12472357,224475,1027,2099,2674090,51044,56,35694133,731673,696
2020-07-02,10843,7867,1699,37645,152890,12701762,229405,1041,2104,2727601,53511,56,36467032,772899,699
2020-07-03,10937,7935,1358,37921,154248,12948963,247201,1059,2049,2781815,54214,56,37263322,796290,602
2020-07-04,10977,8082,870,38281,155118,13158631,209668,1063,1982,2836661,54846,56,37951782,688460,295
2020-07-05,11010,8170,583,38872,155701,13371517,212886,1064,2080,2882035,45374,56,38572381,620599,214
2020-07-06,11058,8336,765,39960,156466,13544258,172741,1070,2104,2922937,40902,56,39223210,650829,233
2020-07-07,11178,8568,1975,41948,158441,13750803,206545,1084,2102,2973928,50991,56,39965243,742033,906
2020-07-08,11303,8750,1888,43205,160329,13962460,211657,1103,2167,3036743,62815,56,40745821,780578,819
2020-07-09,11395,8766,1663,44053,161992,14246666,284206,1138,2129,3095806,59063,56,41592369,846548,862
2020-07-10,11524,8812,2197,51720,164189,14535139,288473,1118,2192,3162914,67108,56,42504967,912598,841
2020-07-11,11613,8934,5088,51984,169277,14799869,264730,1128,2169,3225498,62584,56,43340994,836027,753
2020-07-12,11679,8983,890,52860,170167,15063871,264002,1136,2182,3287100,61602,56,44137934,796940,471
2020-07-13,11749,9207,1120,54120,171287,15288822,224951,1142,2254,3344244,57144,56,44902630,764696,329
2020-07-14,11857,9342,2322,55677,173609,15548344,259522,1154,2263,3402862,58618,56,45737905,835275,742
2020-07-15,12003,9497,2315,56341,175924,15816629,268285,1166,2322,3472234,69372,56,46651869,913964,864
2020-07-16,12091,9565,2207,57600,178131,16104357,287728,1175,2314,3542727,70493,56,47599869,948000,940
2020-07-17,12243,9714,2485,57871,180616,16380380,276023,1200,2352,3619225,76498,56,48543401,943532,938
2020-07-18,12343,9809,1994,57818,182610,16595467,215087,1211,2343,3683998,64773,56,49413069,869668,877
2020-07-19,12393,9581,886,58052,183496,16860967,265500,1216,2362,3748205,64207,56,50202582,789513,526
2020-07-20,12475,9832,1563,58521,185059,17108860,247893,1223,2403,3804914,56709,56,50939789,737207,376
2020-07-21,12632,10046,2555,59479,187614,17349125,240265,1242,2414,3867801,62887,56,51773355,833566,1043
2020-07-22,12792,10339,2237,59759,189851,17611606,262481,1258,2444,3937243,69442,56,52673818,900463,1149
2020-07-23,12933,10370,2371,59862,192222,17925103,313497,1280,2467,4008669,71426,56,53604476,930658,1071
2020-07-24,13184,10288,3066,59801,195288,18236870,311767,1297,2709,4083764,75095,56,54612147,1007671,1174
2020-07-25,13279,10308,1816,59382,197104,18517095,280225,1300,2729,4148552,64788,56,55494536,882389,1012
2020-07-26,13343,10424,1380,58731,198484,18807242,290147,1336,2723,4209320,60768,56,56353715,859179,561
2020-07-27,13413,10183,1632,58987,200116,19050243,243001,1356,2723,4263804,54484,56,57122702,768987,1066
2020-07-28,13559,10414,4067,57185,204183,19284371,234128,1372,2748,4322256,58452,56,57965096,842394,1111
2020-07-29,13747,10435,2860,57423,207043,19571749,287378,1400,2771,4386412,64156,56,58873793,908697,1505
2020-07-30,13877,10549,3293,56570,210336,19833148,261399,1415,2762,4455391,68979,56,59761475,887682,1250
2020-07-31,14044,10471,2531,55718,212867,19932106,98958,1437,2701,4523226,67835,56,60749939,988464,1324
2020-08-01,14227,10347,2385,54554,215252,20164047,231941,1445,2698,4583866,60640,56,61567531,817592,1201
2020-08-02,14289,10343,832,54108,216084,20416372,252325,1448,2645,4637188,53322,56,62358196,790665,496
2020-08-03,14370,10233,1558,53516,217642,20625354,208982,1463,2664,4679931,42743,56,63070280,712084,516
2020-08-04,14537,10207,4423,53436,222065,20861692,236338,1493,2701,4731136,51205,56,63876973,806693,1242
2020-08-05,14687,9988,2117,53432,224182,21093702,232010,1524,2721,4783827,52691,56,64693837,816864,1354
2020-08-06,14810,9996,2616,53220,226798,21360543,266841,1534,2714,4837872,54045,56,65542524,848687,1242
2020-08-07,14925,9698,7994,51329,234792,21624516,263973,1549,2628,4898709,60837,56,66432950,890426,1322
2020-08-08,15024,9662,1493,50071,236285,21816395,191879,1561,2566,4952201,53492,56,67222764,789814,1086
