date,score
2020-01-13, 0
2020-01-14, 0
2020-01-15, 0
2020-01-16, 0
2020-01-17, 0
2020-01-18, 0
2020-01-19, 0
2020-01-20, 0
2020-01-21, 0
2020-01-22, 0
2020-01-23, 0
2020-01-24, 0
2020-01-25, 0
2020-01-26, 0
2020-01-27, 0
2020-01-28, 0.9676763415336609
2020-01-29, 0
2020-01-30, 0
2020-01-31, 0
2020-02-01, 0
2020-02-02, 0
2020-02-03, 0
2020-02-04, 0
2020-02-05, 0
2020-02-06, 0
2020-02-07, 0
2020-02-08, 0
2020-02-09, 0
2020-02-10, 0
2020-02-11, 0
2020-02-12, 0
2020-02-13, 0
2020-02-14, 0
2020-02-15, 0
2020-02-16, 0
2020-02-17, 0
2020-02-18, 0
2020-02-19, 0
2020-02-20, 0
2020-02-21, 0
2020-02-22, 0
2020-02-23, 0
2020-02-24, 0
2020-02-25, 0
2020-02-26, 0
2020-02-27, 0
2020-02-28, 0
2020-02-29, 0
2020-03-01, 0
2020-03-02, 0
2020-03-03, 0
2020-03-04, 0
2020-03-05, 0
2020-03-06, 0
2020-03-07, 0
2020-03-08, 0
2020-03-09, 0
2020-03-10, 0
2020-03-11, 0
2020-03-12, 0
2020-03-13, 0
2020-03-14, 0
2020-03-15, 0
2020-03-16, 0
2020-03-17, 0
2020-03-18, 0
2020-03-19, 0
2020-03-20, 0
2020-03-21, 0
2020-03-22, 0
2020-03-23, -0.998141884803772
2020-03-24, 0
2020-03-25, 0
2020-03-26, 0
2020-03-27, 0
2020-03-28, -0.999735414981842
2020-03-29, 0
2020-03-30, 0
2020-03-31, 0
2020-04-01, 0.2721831997235616
2020-04-02, 0
2020-04-03, 0
2020-04-04, 0
2020-04-05, 0
2020-04-06, -0.9995250701904297
2020-04-07, 0
2020-04-08, -0.9155560731887817
2020-04-09, 0
2020-04-10, 0
2020-04-11, 0
2020-04-12, 0
2020-04-13, -0.9950135052204132
2020-04-14, -0.9384030103683472
2020-04-15, 0.9888936281204224
2020-04-16, 0.013413995504379272
2020-04-17, 0
2020-04-18, -0.002369433641433716
2020-04-19, 0
2020-04-20, 0
2020-04-21, -0.9909027218818665
2020-04-22, -0.8601432144641876
2020-04-23, 0
2020-04-24, 0
2020-04-25, 0
2020-04-26, 0
2020-04-27, -0.1890375316143036
2020-04-28, 0
2020-04-29, -0.9803574234247208
2020-04-30, -0.983361542224884
2020-05-01, 0
2020-05-02, -0.9957664012908936
2020-05-03, -0.9367164373397827
2020-05-04, -0.9991635084152222
2020-05-05, -0.998860239982605
2020-05-06, -0.003080695867538452
2020-05-07, -0.9973306655883789
2020-05-08, -0.9874233603477478
2020-05-09, 0
2020-05-10, -0.9996968507766724
2020-05-11, 0
2020-05-12, -0.9242443442344666
2020-05-13, -0.9939857323964437
2020-05-14, 0
2020-05-15, 0
2020-05-16, 0
2020-05-17, 0
2020-05-18, 0
2020-05-19, -0.5122974514961243
2020-05-20, 0
2020-05-21, -0.7365761399269104
2020-05-22, 0.9675115942955017
2020-05-23, 0
2020-05-24, -0.9983773231506348
2020-05-25, -0.9822427034378052
2020-05-26, 0
2020-05-27, 0.940106987953186
2020-05-28, 0.9765105843544006
2020-05-29, 0
2020-05-30, 0
2020-05-31, 0
2020-06-01, 0
2020-06-02, 0
2020-06-03, -0.9755006432533264
2020-06-04, -0.692749559879303
2020-06-05, 0
2020-06-06, 0
2020-06-07, 0
2020-06-08, -0.9969043433666229
2020-06-09, -0.005805909633636475
2020-06-10, 0
2020-06-11, -0.8321163058280945
2020-06-12, 0
2020-06-13, 0
2020-06-14, 0
2020-06-15, 0
2020-06-16, 0.0004876255989074707
2020-06-17, -0.9721878170967102
2020-06-18, 0
2020-06-19, 0
2020-06-20, 0
2020-06-21, 0
2020-06-22, -0.9796714186668396
2020-06-23, -0.8732031285762787
2020-06-24, -0.9984618425369263
2020-06-25, 0
2020-06-26, -0.9993979930877686
2020-06-27, -0.9796668291091919
2020-06-28, -0.12739980220794678
2020-06-29, 0
2020-06-30, 0
2020-07-01, 0
2020-07-02, 0.0022839605808258057
2020-07-03, 0
2020-07-04, 0
2020-07-05, 0
2020-07-06, 0
2020-07-07, 0
2020-07-08, 0
2020-07-09, 0.9290825128555298
2020-07-10, 0
2020-07-11, 0.9921883344650269
2020-07-12, -0.9964202642440796
2020-07-13, 0
2020-07-14, -0.9990965723991394
2020-07-15, -0.9951692521572113
2020-07-16, 0.0012945234775543213
2020-07-17, 0.9996370077133179
2020-07-18, -0.05020880699157715
2020-07-19, 0
2020-07-20, -0.9802610278129578
2020-07-21, 0
2020-07-22, 0.002781003713607788
2020-07-23, -0.999087929725647
2020-07-24, -0.861469030380249
2020-07-25, 0
2020-07-26, 0
2020-07-27, 0
2020-07-28, -0.9912926554679871
2020-07-29, 0
2020-07-30, 0
2020-07-31, -0.0003803074359893799
2020-08-01, -0.9993329644203186
2020-08-02, 0
2020-08-03, 0
2020-08-04, 0.9994614720344543
2020-08-05, -0.9973947107791901
2020-08-06, 0
2020-08-07, 0
2020-08-08, -0.003493666648864746
2020-08-09, -0.9660123586654663
2020-08-10, 0
2020-08-11, -0.997506320476532
2020-08-12, 0
2020-08-13, -0.9975365400314331
2020-08-14, 0.9972820281982422
2020-08-15, 0
2020-08-16, 0
2020-08-17, -0.9841439425945282
2020-08-18, 0.5789493322372437
2020-08-19, -0.9987422823905945
2020-08-20, -0.9974356293678284
2020-08-21, -0.8804461658000946
2020-08-22, -0.9956016540527344
2020-08-23, -0.9666792750358582
2020-08-24, -0.9567391872406006
2020-08-25, -0.0702517032623291
2020-08-26, -0.9974076151847839
2020-08-27, 0.8717745542526245
2020-08-28, -0.9945138692855835
2020-08-29, -0.9997337460517883
2020-08-30, -0.9690552949905396
2020-08-31, 0
2020-09-01, -0.9987877905368805
2020-09-02, -0.28523800770441693
2020-09-03, -0.903348982334137
2020-09-04, 0.7480781674385071
2020-09-05, 0
2020-09-06, 0
2020-09-07, 0
2020-09-08, 0
2020-09-09, -0.9610999822616577
2020-09-10, -0.9979398846626282
2020-09-11, 0.2950234015782674
2020-09-12, 0
2020-09-13, 0
2020-09-14, -0.9997207522392273
2020-09-15, -0.9792874455451965
2020-09-16, 0
2020-09-17, 0
2020-09-18, -0.9963658650716146
2020-09-19, 0
2020-09-20, 0
2020-09-21, 0
2020-09-22, 0
2020-09-23, -0.993547260761261
2020-09-24, 0
2020-09-25, -0.997899055480957
2020-09-26, -0.9827914834022522
2020-09-27, 0.9911905527114868
2020-09-28, 0
2020-09-29, -0.9923305511474609
2020-09-30, -0.9059991240501404
2020-10-01, -0.9897066354751587
2020-10-02, 0.992789626121521
2020-10-03, 0
2020-10-04, -0.9970872402191162
2020-10-05, -0.46887071430683136
2020-10-06, -0.9934708476066589
2020-10-07, 0.7627411186695099
2020-10-08, -0.9967803955078125
2020-10-09, -0.35114719470342
2020-10-10, -0.9984769523143768
2020-10-11, -0.8791829347610474
2020-10-12, -0.9990338087081909
2020-10-13, 0.856615424156189
2020-10-14, 0
2020-10-15, -0.9390820562839508
2020-10-16, -0.9997896552085876
2020-10-17, 0
2020-10-18, 0
2020-10-19, -0.9981359243392944
2020-10-20, 0
2020-10-21, 0
2020-10-22, -0.3643920302391052
2020-10-23, -0.9341786106427511
2020-10-24, -0.9952672719955444
2020-10-25, 0
2020-10-26, 0.005836039781570435
2020-10-27, -0.9978237450122833
2020-10-28, 0
2020-10-29, -0.9962687492370605
2020-10-30, -0.9550548791885376
2020-10-31, 0
2020-11-01, 0
2020-11-02, 0
2020-11-03, -0.9971449971199036
2020-11-04, 0
2020-11-05, -0.9996114373207092
2020-11-06, 0
2020-11-07, -0.9930643439292908
2020-11-08, -0.9997183680534363
2020-11-09, 0
2020-11-10, 0.0074127912521362305
2020-11-11, -0.866162121295929
2020-11-12, -0.9982524812221527
2020-11-13, 0
2020-11-14, 0
2020-11-15, 0
2020-11-16, -0.9984112977981567
2020-11-17, -0.0007018744945526123
2020-11-18, -0.9720984697341919
2020-11-19, -0.9640525281429291
2020-11-20, 0.981743574142456
2020-11-21, 0.5303665399551392
2020-11-22, 0
2020-11-23, -0.21911484003067017
2020-11-24, 0
2020-11-25, 0
2020-11-26, 0
2020-11-27, -0.9994656443595886
2020-11-28, 0
2020-11-29, -0.9967754483222961
2020-11-30, 0
2020-12-01, 0.024338334798812866
2020-12-02, -0.9841504096984863
2020-12-03, 0
2020-12-04, -0.06803011894226074
2020-12-05, 0
2020-12-06, 0.9956731200218201
2020-12-07, -0.9456193049748739
2020-12-08, -0.9977939128875732
2020-12-09, -0.0037095248699188232
2020-12-10, 0
2020-12-11, -0.9980317056179047
2020-12-12, -0.9970218539237976
2020-12-13, -0.8579186797142029
2020-12-14, -0.090558722615242
2020-12-15, 0
2020-12-16, -0.10984641313552856
2020-12-17, -0.9920103549957275
2020-12-18, -0.4107689658800761
2020-12-19, 0.9957056641578674
2020-12-20, 0.672076404094696
2020-12-21, 0
2020-12-22, -0.9925062954425812
2020-12-23, 0.5238829851150513
2020-12-24, 0
2020-12-25, -0.9947869777679443
2020-12-26, 0
2020-12-27, 0
2020-12-28, -0.9894636869430542
2020-12-29, 0
2020-12-30, -0.9985041618347168
2020-12-31, 0.8505326509475708
2021-01-01, -0.999295711517334
2021-01-02, -0.9412927627563477
2021-01-03, -0.9947898387908936
2021-01-04, 0.9940080642700195
2021-01-05, 0.992158055305481
2021-01-06, 0.7485517263412476
2021-01-07, 0
2021-01-08, -0.9834761619567871
2021-01-09, 0
2021-01-10, 0.9995597004890442
2021-01-11, 0.06094709038734436
2021-01-12, 0.0094815194606781
2021-01-13, -0.9916731715202332
2021-01-14, -0.5248213410377502
2021-01-15, 0
2021-01-16, 0
2021-01-17, -0.9924262762069702
2021-01-18, 0
2021-01-19, -0.9983623921871185
2021-01-20, 0
2021-01-21, 0.3036222259203593
2021-01-22, -0.008999764919281006
2021-01-23, 0
2021-01-24, 0
2021-01-25, 0
2021-01-26, -0.997611403465271
2021-01-27, -0.4896016337654807
2021-01-28, -0.03577104210853577
2021-01-29, -0.013130143284797668
2021-01-30, 0.02829688787460327
2021-01-31, -0.9946704804897308
2021-02-01, -0.11409679055213928
2021-02-02, -0.002219557762145996
2021-02-03, -0.9705728888511658
2021-02-04, -0.996704638004303
2021-02-05, 0.995089590549469
2021-02-06, 0
2021-02-07, 0.0026850104331970215
2021-02-08, -0.9988174438476562
2021-02-09, 0.6418210864067078
2021-02-10, -0.9830684661865234
2021-02-11, -0.999302864074707
2021-02-12, -0.9466224014759064
2021-02-13, 0
2021-02-14, -0.03816777467727661
2021-02-15, 0
2021-02-16, 0
2021-02-17, -0.9994340538978577
2021-02-18, -0.9976264834403992
2021-02-19, 0
2021-02-20, -0.9738661050796509
2021-02-21, 0
2021-02-22, 0
2021-02-23, -0.3343666195869446
2021-02-24, -0.9963635802268982
2021-02-25, -0.4290774663289388
2021-02-26, 0
2021-02-27, 0
2021-02-28, 0
2021-03-01, 0.9631089866161346
2021-03-02, -0.3025798996289571
